ts,iso,energy_mj,power_mw,util_gpu,mem_used_mib,sm_clock_mhz,temp_c
1784891394.9559,19:09:54,2364375201414,21588,0,24037,210,28
1784891395.1559,19:09:55,2364375204742,21588,0,24037,210,28
1784891395.3559,19:09:55,2364375208056,21588,0,24037,210,28
1784891395.5559,19:09:55,2364375211374,21588,0,24037,210,28
1784891395.7559,19:09:55,2364375214689,21631,0,24037,210,28
1784891395.9559,19:09:55,2364375217986,21631,0,24037,210,28
1784891396.1559,19:09:56,2364375221287,21631,0,24037,210,28
1784891396.3559,19:09:56,2364375224574,21631,0,24037,210,28
1784891396.5559,19:09:56,2364375227862,21631,0,24037,210,28
1784891396.7559,19:09:56,2364375231141,21617,0,24037,210,28
1784891396.9559,19:09:56,2364375234430,21617,0,24037,210,28
1784891397.1559,19:09:57,2364375237697,21617,0,24037,210,28
1784891397.3559,19:09:57,2364375240974,21617,0,24037,210,28
1784891397.5559,19:09:57,2364375244246,21617,0,24037,210,28
1784891397.7559,19:09:57,2364375247533,21504,0,24037,210,27
1784891397.9559,19:09:57,2364375250821,21504,0,24037,210,27
1784891398.1559,19:09:58,2364375254119,21504,0,24037,210,27
1784891398.3559,19:09:58,2364375257423,21504,0,24037,210,27
1784891398.5559,19:09:58,2364375260715,21504,0,24037,210,27
1784891398.7559,19:09:58,2364375263991,21515,0,24037,210,27
1784891398.9559,19:09:58,2364375267269,21515,0,24037,210,27
1784891399.1559,19:09:59,2364375270557,21515,0,24037,210,27
1784891399.3559,19:09:59,2364375273850,21515,0,24037,210,27
1784891399.5559,19:09:59,2364375277131,21515,0,24037,210,27
1784891399.7559,19:09:59,2364375280437,21581,0,24037,210,27
1784891399.9559,19:09:59,2364375283713,21581,0,24037,210,27
1784891400.1559,19:10:00,2364375286975,21581,0,24037,210,27
1784891400.3559,19:10:00,2364375290251,21581,0,24037,210,27
1784891400.5559,19:10:00,2364375293533,21581,0,24037,210,27
1784891400.7559,19:10:00,2364375296806,21577,0,24037,210,27
1784891400.9559,19:10:00,2364375300084,21577,0,24037,210,27
1784891401.1559,19:10:01,2364375303340,21577,0,24037,210,27
1784891401.3559,19:10:01,2364375306607,21577,0,24037,210,27
1784891401.5559,19:10:01,2364375309878,21577,0,24037,210,27
1784891401.7559,19:10:01,2364375313153,21583,0,24037,210,27
1784891401.9559,19:10:01,2364375316441,21583,0,24037,210,27
1784891402.1559,19:10:02,2364375319694,21583,0,24037,210,27
1784891402.3559,19:10:02,2364375322940,21583,0,24037,210,27
1784891402.5559,19:10:02,2364375326195,21583,0,24037,210,27
1784891402.7559,19:10:02,2364375329474,21572,0,24037,210,27
1784891402.9559,19:10:02,2364375332729,21572,0,24037,210,27
1784891403.1559,19:10:03,2364375335991,21572,0,24037,210,27
1784891403.3559,19:10:03,2364375339257,21572,0,24037,210,27
1784891403.5559,19:10:03,2364375342526,21572,0,24037,210,27
1784891403.7559,19:10:03,2364375345766,21606,0,24037,210,27
1784891403.9559,19:10:03,2364375349027,21606,0,24037,210,27
1784891404.1559,19:10:04,2364375352276,21606,0,24037,210,27
1784891404.3559,19:10:04,2364375355556,21606,0,24037,210,27
1784891404.5559,19:10:04,2364375358830,21606,0,24037,210,27
1784891404.7559,19:10:04,2364375362095,21651,0,24037,210,27
1784891404.9559,19:10:04,2364375365332,21651,0,24037,210,27
1784891405.1559,19:10:05,2364375368579,21651,0,24037,210,27
1784891405.3559,19:10:05,2364375371789,21651,0,24037,210,27
1784891405.5559,19:10:05,2364375375027,21651,0,24037,210,27
1784891405.7559,19:10:05,2364375378239,21620,0,24037,210,27
1784891405.9559,19:10:05,2364375381436,21620,0,24037,210,27
1784891406.1559,19:10:06,2364375384642,21620,0,24037,210,27
1784891406.3559,19:10:06,2364375387840,21620,0,24037,210,27
1784891406.5559,19:10:06,2364375391046,21620,0,24037,210,27
1784891406.7559,19:10:06,2364375394247,21466,0,24037,210,27
1784891406.9559,19:10:06,2364375397430,21466,0,24037,210,27
1784891407.1559,19:10:07,2364375400657,21466,0,24037,210,27
1784891407.3559,19:10:07,2364375403861,21466,0,24037,210,27
1784891407.5559,19:10:07,2364375407058,21466,0,24037,210,27
1784891407.7559,19:10:07,2364375410276,21356,0,24037,210,27
1784891407.9559,19:10:07,2364375413480,21356,0,24037,210,27
1784891408.1559,19:10:08,2364375416701,21356,0,24037,210,27
1784891408.3559,19:10:08,2364375419916,21356,0,24037,210,27
1784891408.5559,19:10:08,2364375423122,21356,0,24037,210,27
1784891408.7559,19:10:08,2364375426289,21432,0,24037,210,27
1784891408.9559,19:10:08,2364375429484,21432,0,24037,210,27
1784891409.1559,19:10:09,2364375432677,21432,0,24037,210,27
1784891409.3559,19:10:09,2364375435864,21432,0,24037,210,27
1784891409.5559,19:10:09,2364375439033,21432,0,24037,210,27
1784891409.7559,19:10:09,2364375442206,21415,0,24037,210,27
1784891409.9559,19:10:09,2364375445395,21415,0,24037,210,27
1784891410.1559,19:10:10,2364375448576,21415,0,24037,210,27
1784891410.3559,19:10:10,2364375451749,21415,0,24037,210,27
1784891410.5559,19:10:10,2364375454928,21415,0,24039,210,27
1784891410.7559,19:10:10,2364375505268,33498,92,24039,2520,37
1784891410.9559,19:10:10,2364375590494,33498,92,24039,2520,37
1784891411.1559,19:10:11,2364375681141,33498,92,24039,2640,37
1784891411.3559,19:10:11,2364375772493,158647,92,24039,2640,49
1784891411.5559,19:10:11,2364375861516,158647,92,24039,2640,49
1784891411.7559,19:10:11,2364375942323,449434,100,24039,2535,49
1784891411.9559,19:10:11,2364376019594,449434,100,24039,2535,49
1784891412.1559,19:10:12,2364376081314,449434,100,24039,2535,49
1784891412.3559,19:10:12,2364376143138,426336,100,24039,2730,42
1784891412.5559,19:10:12,2364376203844,426336,100,24039,2730,42
1784891412.7559,19:10:12,2364376264510,358382,100,24039,2730,41
1784891412.9559,19:10:12,2364376325106,358382,100,24039,2730,41
1784891413.1559,19:10:13,2364376385616,358382,100,24039,2730,41
1784891413.3559,19:10:13,2364376446214,325658,100,24039,2730,42
1784891413.5559,19:10:13,2364376506575,325658,100,24039,2730,42
1784891413.7559,19:10:13,2364376566970,323554,100,24039,2730,42
1784891413.9559,19:10:13,2364376627395,323554,100,24039,2730,42
1784891414.1559,19:10:14,2364376687530,323554,100,24039,2730,42
1784891414.3559,19:10:14,2364376747395,323062,100,24039,2730,42
1784891414.5559,19:10:14,2364376807127,323062,100,24039,2730,42
1784891414.7559,19:10:14,2364376866873,321736,100,24039,2730,42
1784891414.9559,19:10:14,2364376926586,321736,100,24039,2730,42
1784891415.1559,19:10:15,2364376985715,321736,100,24039,2730,42
1784891415.3559,19:10:15,2364377044576,319985,100,24039,2730,42
1784891415.5559,19:10:15,2364377103468,319985,100,24039,2730,42
1784891415.7559,19:10:15,2364377162513,317908,100,24039,2730,43
1784891415.9559,19:10:15,2364377221565,317908,100,24039,2730,43
1784891416.1559,19:10:16,2364377278713,317908,100,24039,2730,43
